%Master_Degree,Incidents_per_100k
22.84,2.387881501380494
23.37,1.7087931648273407
23.46,1.6200962631743283
24.02,1.3396784474019914
21.3,0.9918540444265596
18.73,0.9106182642705265
7.2,0.8844469995135542
21.96,0.8541472407485177
7.53,0.8154819243334709
6.59,0.7352866439290086
20.62,0.7340311522821028
6.74,0.7215087666594735
20.85,0.7204901638682828
11.02,0.6786900555886615
7.07,0.6099897587076583
11.36,0.5979764477009799
6.18,0.5592848381752342
8.59,0.4847122718871341
6.94,0.4761812441051313
11.14,0.460974825052106
7.19,0.4567461404951128
20.61,0.44627715596494044
6.7,0.440683194546376
7.87,0.43651858964018364
11.37,0.4063845725579335
5.97,0.4021312958681009
9.44,0.35966905903380775
15.07,0.3559724820326935
9.64,0.3522555402591256
13.22,0.33081473051832055
9.58,0.3280855528386079
8.93,0.3275084983639024
10.26,0.32355255018201406
5.51,0.3211493550036354
5.73,0.3202163467029351
9.29,0.3163641202146437
8.25,0.3153146761639447
6.85,0.30843254580223306
14.4,0.3082084007877158
14.2,0.3081849544429646
10.05,0.3045547266847437
5.44,0.29903884642774603
8.75,0.2946752601456341
6.75,0.293376344478592
8.59,0.29328246294701954
9.85,0.28901682179449295
6.88,0.28642327099058057
11.65,0.2832380211166533
8.82,0.2801354191594121
9.33,0.2799947564618335
5.86,0.27897127411331124
10.19,0.27470198758660963
13.29,0.27221949057525086
8.42,0.27152981083366606
10.23,0.2700266624326486
9.98,0.269977235519501
7.09,0.2658784846698897
10.0,0.2657411300192543
10.28,0.26210282941546137
8.48,0.26153066926570034
9.06,0.2593955079507155
8.51,0.2540749815922676
8.7,0.24904015772543323
9.32,0.24873614676467404
7.34,0.24473887891238044
9.37,0.2420855769286635
9.34,0.23918395219191166
10.7,0.23702569152054354
5.25,0.23657562376389235
8.41,0.2285172559909063
8.03,0.22690725832356096
10.06,0.22667046385027706
9.86,0.22656313312414003
12.38,0.22367249941458023
12.46,0.22260556041292306
7.8,0.21952171486851307
13.7,0.21880278257256566
8.15,0.21858882262085375
12.32,0.21643576577721002
7.78,0.21629361425547952
8.14,0.2153287443515355
7.9,0.21504704225731724
10.57,0.21465219457720583
7.82,0.21368673393305884
9.31,0.21309169128941158
9.0,0.2104255500645278
8.86,0.21006969061986314
9.67,0.2098935419954999
9.36,0.20961788987762975
9.68,0.2085078401791196
7.13,0.20845791175202322
7.53,0.20570130554210742
10.04,0.20538857464436966
7.05,0.20424227545502116
9.67,0.2037118899037239
6.28,0.20160280953675372
5.78,0.20075443516735894
8.21,0.1994543814587207
6.21,0.1990825611971498
7.03,0.19901487636200804
6.33,0.19849291960487084
9.61,0.19628052150426029
8.0,0.19579318757183162
9.28,0.19440131975167954
7.42,0.19427824659996878
8.5,0.19422325652580433
8.66,0.19303750302129094
9.44,0.19273258004096444
8.34,0.19221389562304933
8.4,0.1907642444853634
11.87,0.19012906911857114
9.59,0.18927349262590473
7.07,0.18712960034731255
7.91,0.18657007538109482
12.76,0.18653036036203627
13.52,0.18513645829789707
12.82,0.18283215991099067
11.13,0.18254670913920099
6.71,0.1804187338393678
7.85,0.18012440420636802
11.81,0.17919128413593963
9.05,0.17895114473634516
7.66,0.178264717757929
8.25,0.17675050384940502
9.17,0.1766497078417659
7.56,0.1727834901919452
7.14,0.17267646548049448
9.88,0.1726176307159955
9.04,0.17198152643235673
7.57,0.17092376726726838
6.94,0.16949353636399078
12.06,0.16776402982620767
5.79,0.16699626162168732
6.84,0.16665911650366141
9.08,0.16650253956333444
5.99,0.16568339096906226
6.88,0.16524058533503022
8.26,0.16488252459586566
9.63,0.16485502766620624
7.0,0.16416926902319612
7.87,0.16412276382734287
8.03,0.16357156550419627
9.35,0.16161880113214822
10.35,0.1597336919887164
6.9,0.1590335341290735
8.23,0.15886139704156751
7.3,0.15821199352385573
6.49,0.1573429434207363
6.8,0.1565886719370238
7.04,0.15653489350618124
7.91,0.155499391479048
11.42,0.15412702070157078
12.77,0.15246109561287607
8.41,0.15225966024102702
12.82,0.1510715831114919
13.11,0.1489395996966928
7.08,0.14853943402613612
9.17,0.14841443778775315
8.99,0.1483556725743457
14.32,0.14753957891069258
7.22,0.14554318389978013
7.14,0.144853100332293
11.42,0.14435391849822177
6.9,0.1435971959160137
9.81,0.14329501147076565
9.22,0.14305785663650447
8.68,0.14232504395548293
9.64,0.14188616851063507
12.32,0.14167617077645625
9.77,0.1415048617532877
5.5,0.14088976819758664
7.78,0.1408495339641045
11.41,0.14046018971957827
9.51,0.13948028251930483
8.88,0.1393582677641445
7.63,0.13932097742024918
9.64,0.13806081164570558
9.47,0.13730968448637423
9.23,0.13730068231574077
9.47,0.1369147083406515
8.05,0.1364865362856281
6.55,0.13595823363062867
10.65,0.13579546812500137
7.12,0.1357345683369258
8.99,0.13511085169827586
7.08,0.13470465667262885
8.69,0.13420623304073578
9.23,0.13268039248275354
12.83,0.13218384062462152
7.55,0.1319350635407512
5.93,0.13182212449808725
10.03,0.13088604488626554
12.15,0.13076855772266793
12.84,0.12915945929975553
7.03,0.1282603282122602
5.85,0.1278334932956446
7.36,0.12756306079910604
6.42,0.12680445915488886
9.84,0.12554656955272267
8.91,0.12401225818147463
11.64,0.12384333143064942
6.79,0.12241898694003642
6.68,0.12126990816078269
9.35,0.12110864468123128
6.87,0.12060811213177401
8.21,0.11976969997690155
7.56,0.1194885650438991
5.4,0.11720924780965217
12.66,0.11715749212203733
8.93,0.11713682917006916
5.39,0.11648644272536342
9.56,0.11468522372130818
8.38,0.11464963187149703
7.51,0.114370675358838
11.43,0.11225209125646012
7.26,0.11193943422193439
7.28,0.1119150842060285
6.9,0.1116849234288165
7.21,0.11126027165595051
7.96,0.11085830937450114
8.09,0.11079439581801516
9.45,0.10976948408342481
9.7,0.10951241241060364
8.32,0.10935361624207392
10.81,0.10608315676802205
9.23,0.10571562075155348
7.23,0.10499761655410422
8.57,0.10488092963404946
9.77,0.10395669579879806
9.77,0.10339433254305598
11.1,0.10337664297790893
7.93,0.10308614135687134
7.5,0.10250141525168344
10.01,0.10213982942648486
5.69,0.10203880331612507
8.71,0.10109286441071201
6.36,0.1010874226775986
10.2,0.10098949507272253
7.92,0.10090942602012114
7.15,0.10078371431928966
13.77,0.10071348791958498
10.87,0.10062084177383812
10.35,0.10046870885317982
6.22,0.10045102510271117
5.94,0.10039327391836286
15.84,0.09998001827920391
5.82,0.09985756981958067
9.65,0.09907055520513341
11.21,0.09819362998283575
6.22,0.09739766427414716
12.88,0.09717439532422723
11.37,0.09690955431295971
7.09,0.09681020069722708
7.91,0.09656543976021974
8.24,0.09630552735943727
8.57,0.09611334576045169
11.65,0.09608121937636323
8.42,0.09591824695975126
15.19,0.09579736940423617
8.32,0.0957822295229566
8.41,0.09544589458573619
7.4,0.09519339967044045
6.65,0.0950850535804277
8.52,0.0947711891794047
